Timestamp,Ai navigat pe un magazin online în ultimele două săptămâni?,Adresa magazinului online (ex: google.com),Care a fost intenția ta vizitând acest magazin?,Experiența s-a încheiat cu achiziționarea unui produs?,Ce dispozitiv(e) ai folosit pentru navigare?,Cum ai perceput performanța siteului (viteză de încărcare)?,Cum ai evalua aspectul site-ului?
10/27/2018 17:04:08,Da,,De cupărare,Nu,Desktop,3,4
10/27/2018 17:11:42,Da,emag.ro,De cupărare,Da,Desktop,5,3
10/27/2018 17:12:20,Da,PlayStation network  store,De cupărare,Da,Ps4,4,3
10/27/2018 17:13:06,Da,Por porc. Com,De explorare,Nu,Desktop,5,4
10/27/2018 17:13:10,Da,altex.ro,De informare,Nu,Mobil,4,3
10/27/2018 17:15:19,Da,www.artisan-cooking.ro,De cupărare,Da,Laptop,4,4
10/27/2018 17:19:30,Da,eMAG.ro,De informare,Nu,"Mobil, Desktop",3,3
10/27/2018 17:20:07,Nu,,,,,,
10/27/2018 17:21:42,Da,"EMAG, Optimus digital, aliexpress",De cumpărare,Da,"Mobil, Laptop",4,4
10/27/2018 17:23:42,Da,emag.ro,De informare,Nu,Mobil,4,3
10/27/2018 17:25:03,Da,EMAG. Ro,De cumpărare,Nu,"Desktop, Laptop",5,5
10/27/2018 17:26:18,Da,EMAG.ro,De cumpărare,Da,Desktop,4,4
10/27/2018 17:27:54,Da,Amazon,De cumpărare,Da,"Mobil, Desktop, Laptop",5,5
10/27/2018 17:29:02,Da,emag.ro,De cumpărare,Nu,Desktop,4,4
10/27/2018 17:30:11,Da,pcgarage.ro,De informare,Nu,Desktop,5,5
10/27/2018 17:31:00,Da,Www.cel.ro,De informare,Nu,Mobil,3,3
10/27/2018 17:31:47,Da,Innab.ro,De informare,Nu,Mobil,3,4
10/27/2018 17:37:12,Da,porcporc.com,De cumpărare,Da,Desktop,5,4
10/27/2018 17:42:18,Da,Senia.ro,De cumpărare,Nu,Laptop,3,3
10/27/2018 17:45:39,Da,BestValue.eu,De cumpărare,Da,Desktop,4,4
10/27/2018 17:45:46,Da,hm.com,De cumpărare,Da,"Mobil, Desktop",2,3
10/27/2018 17:48:59,Da,www.emag.ro,De informare,Nu,"Mobil, Laptop",5,5
10/27/2018 17:56:06,Da,Emag.ro,De informare,Nu,Mobil,4,4
10/27/2018 17:57:52,Da,sneakerindustry.ro,De explorare,Nu,Mobil,4,5
10/27/2018 17:58:40,Da,Emag.ro,De informare,Nu,Mobil,3,2
10/27/2018 17:59:20,Da,Glami.ro,De cumpărare,Da,Laptop,4,4
10/27/2018 17:59:38,Da,https://www.reserved.com/ro/ro/,De informare,Nu,Desktop,5,4
10/27/2018 18:00:28,Da,Emag.ro,De cumpărare,Da,"Mobil, Desktop, Laptop",5,4
10/27/2018 18:00:57,Da,Answer.ro fashiondays.ro nosugarshop.ro ,De cumpărare,Nu,Mobil,5,5
10/27/2018 18:00:59,Da,housebrand.com,De informare,Nu,Desktop,5,5
10/27/2018 18:02:12,Da,emag.ro,De cumpărare,Da,"Mobil, Laptop",5,5
10/27/2018 18:02:29,Da,zara,De cumpărare,Da,Mobil,5,5
10/27/2018 18:02:39,Da,pcgarage.ro,De cumpărare,Da,Desktop,4,3
10/27/2018 18:03:37,Da,emag.ro,De explorare,Nu,Mobil,4,5
10/27/2018 18:04:12,Da,eMAG.ro,De cumpărare,Da,Mobil,5,5
10/27/2018 18:04:35,Da,asos.com,De explorare,Nu,Mobil,4,4
10/27/2018 18:04:48,Da,emag.ro,De cumpărare,Nu,"Mobil, Laptop",4,4
10/27/2018 18:04:52,Da,https://damia.ro/,De informare,Nu,Mobil,4,5
